Cow,Action,Amount,ID0,Card0,Money0,Wager0,Alive0,ID1,Card1,Money1,Wager1,Alive1,ID2,Card2,Money2,Wager2,Alive2,ID3,Card3,Money3,Wager3,Alive3,ID4,Card4,Money4,Wager4,Alive4,ID5,Card5,Money5,Wager5,Alive5
3,CALL,0,0,0,0,0,0,1,13,3970,32,1,2,12,1084,32,1,3,0,945,32,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,6,4034,32,1,2,0,1052,32,1,3,12,913,32,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,6,4034,32,1,2,2,1052,32,1,3,0,913,32,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,4034,32,1,2,2,1052,32,1,3,12,913,32,1,4,0,0,0,0,5,0,0,0,0
3,WAGER,128,0,0,0,0,0,1,1,4002,64,1,2,5,1020,64,1,3,0,977,64,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,4002,64,1,2,5,1020,64,1,3,4,977,128,1,4,0,0,0,0,5,0,0,0,0
2,WAGER,128,0,0,0,0,0,1,1,4002,128,1,2,0,1020,64,1,3,4,977,128,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3874,64,1,2,6,1276,64,1,3,9,849,64,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,8,3874,64,1,2,0,1276,64,1,3,9,849,64,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,8,3874,64,1,2,6,1276,64,1,3,0,849,64,1,4,0,0,0,0,5,0,0,0,0
2,WAGER,128,0,0,0,0,0,1,5,3810,64,1,2,0,1212,64,1,3,1,977,64,1,4,0,0,0,0,5,0,0,0,0
3,FOLD,0,0,0,0,0,0,1,5,3810,64,1,2,13,1212,128,1,3,0,977,64,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3810,64,1,2,13,1212,128,1,3,0,977,64,0,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,10,3682,64,1,2,5,1404,64,1,3,0,913,64,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3682,64,1,2,5,1404,64,1,3,12,913,64,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,10,3682,64,1,2,0,1404,64,1,3,12,913,64,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3618,64,1,2,5,1340,64,1,3,11,1041,64,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,2,3618,64,1,2,0,1340,64,1,3,11,1041,64,1,4,0,0,0,0,5,0,0,0,0
3,WAGER,128,0,0,0,0,0,1,2,3618,64,1,2,5,1340,64,1,3,0,1041,64,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3618,64,1,2,5,1340,64,1,3,11,1041,128,1,4,0,0,0,0,5,0,0,0,0
2,FOLD,0,0,0,0,0,0,1,2,3618,128,1,2,0,1340,64,1,3,11,1041,128,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,11,3490,128,1,2,0,1276,128,1,3,6,1233,128,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,11,3490,128,1,2,9,1276,128,1,3,0,1233,128,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3490,128,1,2,9,1276,128,1,3,6,1233,128,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,3,3746,128,1,2,12,1148,128,1,3,0,1105,128,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3746,128,1,2,12,1148,128,1,3,11,1105,128,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,3,3746,128,1,2,0,1148,128,1,3,11,1105,128,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3618,128,1,2,1,1404,128,1,3,7,977,128,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,5,3618,128,1,2,0,1404,128,1,3,7,977,128,1,4,0,0,0,0,5,0,0,0,0
3,WAGER,256,0,0,0,0,0,1,5,3618,128,1,2,1,1404,128,1,3,0,977,128,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3618,128,1,2,1,1404,128,1,3,7,977,256,1,4,0,0,0,0,5,0,0,0,0
2,FOLD,0,0,0,0,0,0,1,5,3618,256,1,2,0,1404,128,1,3,7,977,256,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,12,3362,128,1,2,0,1276,128,1,3,3,1361,128,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,12,3362,128,1,2,2,1276,128,1,3,0,1361,128,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3362,128,1,2,2,1276,128,1,3,3,1361,128,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,13,3618,128,1,2,7,1148,128,1,3,0,1233,128,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3618,128,1,2,7,1148,128,1,3,4,1233,128,1,4,0,0,0,0,5,0,0,0,0
